id,question,answer,description,category_id,difficulty_id,expected_output
1,"リスト内包表記を使って、0から10までの偶数を生成しなさい。","＜解答例＞
li = [nm for nm in range(0,11) if nm%2 == 0]
print(li)",None,2,2,
2,"数値が正の数か負の数かを判定する関数を作成しなさい。","＜解答例＞
def check_number(num):
    if num > 0:
        return ""正の数""
    elif num < 0:
        return ""負の数""
    else:
        return ""ゼロ""",None,2,2,
3,"関数 is_even_or_odd を作成してください。
この関数は、引数として受け取った数値が奇数か偶数かを判定して、以下のように出力します。


入力が偶数の場合：""{数値}は偶数です""
入力が奇数の場合：""{数値}は奇数です""","def is_even_or_odd(nm=None):

　　# 引数が空または数値でない場合
    if nm is None or not isinstance(nm, (int, float)):  
        return ""引数は数値である必要があります""
    return f""{nm}は偶数です"" if nm % 2 == 0 else f""{nm}は奇数です""",None,2,2,
5,"次の関数を完成させてください：

関数名: factorial
引数: n（非負整数）
基底条件: n == 0 または n == 1 の場合、1を返す。
再帰呼び出し: n * factorial(n - 1) を計算する。","def factorial(n):
    if n == 0 or n == 1:
        return 1
    return n* factorial(n-1)",None,2,3,
10,"リスト内の最大値を返す関数 find_max を作成してください。
引数としてリストを受け取ります。
空のリストが渡された場合は、エラーメッセージ（例: ""リストが空です""）を返してください。


print(find_max([3, 5, 7, 2, 8]))  # 出力: 8
print(find_max([-1, -3, -5]))     # 出力: -1
print(find_max([]))               # 出力: ""リストが空です""","＜解答例＞
```
def find_max(li):
    if not isinstance(li, list):
        return ""リストを入力してください""
    if li == []:
        return ""リストが空です""
    if not all(isinstance(x, (int, float)) for x in li):  # 要素が数値か確認
        return ""リストには数値のみ含めてください""
    return max(li)
```","登録する解説を入力してください",3,2,
11,"リスト内の最大値を返す関数 find_max を作成してください。
引数としてリストを受け取ります。
空のリストが渡された場合は、エラーメッセージ（例: ""リストが空です""）を返してください。


print(find_max([3, 5, 7, 2, 8]))  # 出力: 8
print(find_max([-1, -3, -5]))     # 出力: -1
print(find_max([]))               # 出力: ""リストが空です""","＜解答例＞
def find_max(li):
    if not isinstance(li, list):
        return ""リストを入力してください""
    if li == []:
        return ""リストが空です""
    if not all(isinstance(x, (int, float)) for x in li):  # 要素が数値か確認
        return ""リストには数値のみ含めてください""
    return max(li)","登録する解説を入力してください",3,3,
12,"リスト内の奇数を全て2倍にした新しいリストを返す関数 double_odds を作成してください。
引数としてリストを受け取ります。
奇数は2倍にし、偶数はそのまま残します。
空のリストが渡された場合は、空のリストを返します。



print(double_odds([1, 2, 3, 4, 5]))  # 出力: [2, 2, 6, 4, 10]
print(double_odds([6, 8, 10]))       # 出力: [6, 8, 10] (奇数がない)
print(double_odds([]))               # 出力: []","def double_odds(li=None):
    if li is None:
        return ""リストが空です""
    if not isinstance(li,list):
        return ""リストを入力してください""
    if not all(isinstance(x,(int,float))for x in li):
        return ""数値を入力してください""  
    
    #奇数を2倍にして返す
    return [n*2 if n%2 ==1 else n for n in li ]","登録する解説を入力してください",2,2,
13,"文字列内の単語数をカウントして返す関数 count_words を作成してください。
引数として1つの文字列を受け取ります。
空の文字列が渡された場合は、0を返します。
単語はスペースで区切られたものとします。



print(count_words(""This is a test""))      # 出力: 4
print(count_words(""Python programming"")) # 出力: 2
print(count_words(""""))                   # 出力: 0","＜解答例＞
def count_words(words=""""):
    if not isinstance(words, str):  # 型チェック
        return ""文字列を入力してください""
    if not words.strip():  # 空白だけの文字列も 0 として扱う
        return 0
    return len(words.split())","登録する解説を入力してください",3,2,
20,"```
x = ""10""
y = 5
z = x + str(y)
print(z)
```
上記のコードを実行すると、出力される値は？

１．15
２．105
３．TypeError
４．""105""","4. ""105""","x は文字列 ""10""、y は整数 5。str(y) によって 5 が文字列になり、文字列の連結が行われる。",1,1,
21,"```
x = 10
if x > 5:
    print(""A"")
elif x > 8:
    print(""B"")
else:
    print(""C"")
```
上記のコードを実行すると、出力される値は？

１．A
２．B
３．C
４．A B","1. A","if 文は上から順番に評価され、最初に True になった条件で処理が終わる。x > 5 が True のため ""A"" が出力され、elif は実行されない。",2,1,
22,"result = 0
for i in range(1, 6, 2):
    result += i
print(result)

 上記のコードを実行すると、出力される値は？

１．9
２．10
３．12
４．15"," 1. 9","range(1, 6, 2) は [1, 3, 5] を生成するので、1 + 3 + 5 = 9 になる。",2,2,
